Mfg#,Upc#,Case,GTIN  ,Description,Uom,Pack,Size,Category,Customer Price,Qty Available
22400,39373,39373,022400393735,TRES FLCRL COLOR MOIST COND                                      ,CS,6,28 OZ       ,Grocery- other                ,$18.41,3
22400,39375,39375,022400393759,Tresemme Moisture Rich Conditioner                               ,CS,6,28 OZ       ,Shampoo/Condtnr/Hair Color    ,$18.21,269
22400,39376,39376,022400393766,Tresemme Anti Breakage Conditioner                               ,CS,6,28 OZ       ,Shampoo/Condtnr/Hair Color    ,$16.92,348
22400,39376,39376,022400393766,TRES ANTI BREAKAGE COND                                          ,CS,6,28 OZ       ,Grocery- other                ,$16.92,36
22400,39377,39377,022400393773,TRES COLOR REVITALIZING COND                                     ,CS,6,28 OZ       ,Grocery- other                ,$17.56,129
22400,62374,62374,022400623740,TRES CLEAN HOLD GEL                                              ,CS,6,9 OZ        ,Grocery- other                ,$21.59,83
22400,64261,64010,022400642611,TRES MEGA HOLD SCULPTING GEL                                     ,CS,6,9 OZ        ,Grocery- other                ,$17.16,62
22400,64316,00190,022400643168,TRES MOUSSE XTRA HOLD                                            ,CS,6,10.5 OZ     ,Grocery- other                ,$25.87,1
22600,00038,00038,022600000389,VIVISCAL HAIR TABLETS                                            ,CS,30,60 CT       ,Grocery- other                ,$636.80,106
22600,00043,00043,022600000433,VIVISCAL TABLETS                                                 ,CS,30,60 CT       ,Grocery- other                ,$656.70,2
22600,00112,00115,022600001126,REPHRESH FEM PROBIOTIC                                           ,CS,24,30 CT       ,Grocery- other                ,$361.68,184
22600,01956,01956,022600019565,NAIR WAX READY BODY STRIPS                                       ,CS,12,40 CT       ,Grocery- other                ,$63.68,122
22600,01957,01957,022600019572,NAIR EASIWAX WAX STRIPS                                          ,CS,12,40 CT       ,Grocery- other                ,$40.80,337
22600,08557,08557,022600085577,SIMPLY SALINE WOUND WASH 3N1                                     ,CS,12,7.4 OZ      ,Grocery- other                ,$38.06,162
22600,18062,08461,022600180623,Arrid Xx Solid Unscented                                         ,CS,12,2.6 OZ      ,Deodorants/Body Sprays        ,$23.38,41
22600,22319,22319,022600223191,Nair Baby Oil Lotion                                             ,CS,12,9 OZ        ,Skin Care/Razors              ,$44.28,216
22600,22329,22329,022600223290,Nair Aloe & Lanolin Lotion                                       ,CS,12,9 OZ        ,Skin Care/Razors              ,$45.17,184
22600,22339,22339,022600223399,Nair Cocoa Butter Lotion                                         ,CS,12,9 OZ        ,Skin Care/Razors              ,$44.58,125
22600,22887,22887,022600228875,TRJN MAGNUM BARESKIN CONDOM                                      ,CS,48,10 CT       ,Grocery- other                ,$244.27,18
22600,28001,29300,022600280019,NAIR SENS BIKINI CREAM                                           ,CS,12,1.7 OZ      ,Grocery- other                ,$33.63,304
22600,64214,64214,022600642145,TRJN MAGNUM LUBR CONDOM                                          ,CS,48,12 CT       ,Grocery- other                ,$207.96,40
22600,64313,64313,022600643135,TRJN MAGNUM ECSTASY LUBR                                         ,CS,48,10 CT       ,Grocery- other                ,$235.82,5
22600,64614,64614,022600646143,TRJN MAGNUM THIN LUBR                                            ,CS,48,12 CT       ,Grocery- other                ,$223.88,48
22600,88161,01988,022600881612,Arrid Xx Morning Clean Spray                                     ,CS,12,6 OZ        ,Deodorants/Body Sprays        ,$32.59,22
22600,88671,01986,022600886716,Arrid Xx Ultra Clear Fresh Spray                                 ,CS,12,6 OZ        ,Deodorants/Body Sprays        ,$38.81,38
22600,90125,90125,022600901259,1St Response Early Result Pregnancy Test                         ,CS,12,2 CT        ,Feminine hygiene              ,$72.78,151
22600,90126,90132,022600901266,1St Response Rapid Result Pregnancy Test                         ,CS,12,2 CT        ,Feminine hygiene              ,$83.68,300
22600,90140,90150,022600901402,DIGITAL GOLD PREGNANCY TEST                                      ,CS,12,2 CT        ,Grocery- other                ,$134.82,122
22600,92620,92620,022600926207,TRJN ULTRA THIN LUBRICATED                                       ,CS,48,3 CT        ,Grocery- other                ,$61.39,232
22600,92642,92642,022600926429,TRJN SNSTVTY ULTRA CONDOM                                        ,CS,48,12 CT       ,Grocery- other                ,$215.92,12
22600,92674,92674,022600926740,TRJN BARE SKIN LUBR CONDOM                                       ,CS,48,10 CT       ,Grocery- other                ,$262.18,40
22600,92742,92742,022600927426,TRJN THIN SENSITIVE CONDOM                                       ,CS,48,12 CT       ,Grocery- other                ,$233.53,52
22600,93050,93050,022600930501,TRJN LUBE-ENZ CONDOMS                                            ,CS,48,3 CT        ,Grocery- other                ,$53.53,29
22600,93150,93150,022600931508,TRJN ENZ W/SPRMCIDE LUBR                                         ,CS,48,3 CT        ,Grocery- other                ,$60.70,23
22600,93252,93252,022600932529,TRJN ENZ LUBR CONDOM                                             ,CS,48,12 CT       ,Grocery- other                ,$214.92,3
22600,93752,93752,022600937524,TRJN ENZ LUBR CONDOM                                             ,CS,48,12 CT       ,Grocery- other                ,$179.10,3
22600,94732,94732,022600947325,TRJN STIM ECSTASY ULTR SMOOTH                                    ,CS,48,10 CT       ,Grocery- other                ,$258.70,35
